# X,Y,Z,FA
94,108,106,0.000000
94,108,107,0.000000
94,108,108,0.000000
94,109,106,0.000000
94,109,107,0.000000
94,109,108,0.000000
94,109,109,0.000000
94,110,106,0.000000
94,110,107,0.000000
94,110,108,0.000000
94,110,109,0.000000
94,111,106,0.000000
94,111,107,0.000000
94,111,108,0.000000
94,111,109,0.000000
94,112,106,0.000000
94,112,107,0.000000
94,112,108,0.000000
94,112,109,0.000000
94,112,110,0.000000
94,113,106,0.000000
94,113,107,0.000000
94,113,108,0.000000
94,113,109,0.000000
94,113,110,0.000000
94,114,106,0.000000
94,114,107,0.000000
94,114,108,0.000000
94,114,109,0.000000
94,114,110,0.000000
94,115,106,0.000000
94,115,107,0.000000
94,115,108,0.000000
94,115,109,0.000000
94,115,110,0.000000
94,116,106,0.000000
94,116,107,0.000000
94,116,108,0.000000
94,116,109,0.000000
94,117,106,0.000000
94,117,107,0.000000
94,117,108,0.000000
94,117,109,0.000000
94,118,106,0.000000
94,118,107,0.000000
94,118,108,0.000000
94,118,109,0.000000
94,119,106,0.000000
94,119,107,0.000000
94,119,108,0.000000
94,119,109,0.000000
94,120,106,0.000000
94,120,107,0.000000
94,120,108,0.000000
94,120,109,0.000000
94,121,106,0.000000
94,121,107,0.000000
94,121,108,0.000000
94,121,109,0.000000
94,122,105,0.000000
94,122,106,0.000000
94,122,107,0.000000
94,122,108,0.000000
94,123,105,0.000000
94,123,106,0.000000
94,123,107,0.000000
94,123,108,0.000000
94,124,105,0.000000
94,124,106,0.000000
94,124,107,0.000000
94,125,105,0.000000
94,125,106,0.000000
94,125,107,0.000000
94,126,105,0.000000
94,126,106,0.000000
94,126,107,0.000000
94,127,105,0.000000
94,127,106,0.000000
94,127,107,0.000000
94,128,104,0.000000
94,128,105,0.000000
94,128,106,0.000000
94,128,107,0.000000
94,129,104,0.000000
94,129,105,0.000000
94,129,106,0.000000
94,129,107,0.000000
94,130,104,0.000000
94,130,105,0.000000
94,130,106,0.000000
94,131,104,0.000000
94,131,105,0.000000
94,131,106,0.000000
94,132,104,0.000000
94,132,105,0.000000
94,133,104,0.000000
94,133,105,0.000000
94,134,103,0.000000
94,134,104,0.000000
94,135,103,0.000000
94,135,104,0.000000
94,136,102,0.000000
94,136,103,0.000000
94,137,102,0.000000
94,138,102,0.000000
94,139,101,0.000000
94,139,102,0.000000
95,96,104,0.000000
95,96,105,0.000000
95,97,104,0.000000
95,97,105,0.000000
95,97,106,0.000000
95,98,104,0.000000
95,98,105,0.000000
95,98,106,0.000000
95,99,104,0.000000
95,99,105,0.000000
95,99,106,0.000000
95,100,104,0.000000
95,100,105,0.000000
95,100,106,0.000000
95,100,107,0.000000
95,101,104,0.000000
95,101,105,0.000000
95,101,106,0.000000
95,101,107,0.000000
95,101,108,0.000000
95,102,104,0.000000
95,102,105,0.000000
95,102,106,0.000000
95,102,107,0.000000
95,102,108,0.000000
95,102,109,0.000000
95,103,104,0.000000
95,103,105,0.000000
95,103,106,0.000000
95,103,107,0.000000
95,103,108,0.000000
95,103,109,0.000000
95,104,104,0.000000
95,104,105,0.000000
95,104,106,0.000000
95,104,107,0.000000
95,104,108,0.000000
95,104,109,0.000000
