# X,Y,Z,FA
78,76,89,0.000000
78,76,90,0.000000
78,76,91,0.000000
78,77,84,0.000000
78,77,85,0.000000
78,77,86,0.000000
78,77,87,0.000000
78,77,88,0.000000
78,77,89,0.000000
78,77,90,0.000000
78,77,91,0.000000
78,77,92,0.000000
78,77,93,0.000000
78,78,82,0.000000
78,78,83,0.000000
78,78,84,0.421043
78,78,85,0.452896
78,78,86,0.466581
78,78,87,0.459879
78,78,88,0.000000
78,78,89,0.000000
78,78,90,0.000000
78,78,91,0.000000
78,78,92,0.000000
78,78,93,0.000000
78,79,82,0.401424
78,79,83,0.418880
78,79,97,0.000000
78,79,98,0.000000
78,80,82,0.000000
78,80,97,0.000000
78,80,98,0.000000
78,80,99,0.000000
78,81,98,0.000000
78,81,99,0.000000
78,81,100,0.000000
78,82,99,0.000000
78,82,100,0.000000
78,83,100,0.000000
78,88,105,0.000000
78,89,105,0.000000
78,90,105,0.000000
79,76,87,0.000000
79,76,88,0.000000
79,76,89,0.000000
79,76,90,0.000000
79,76,91,0.000000
79,76,92,0.000000
79,77,84,0.000000
79,77,85,0.000000
79,77,86,0.000000
79,77,87,0.000000
79,77,88,0.000000
79,77,89,0.000000
79,77,90,0.000000
79,77,91,0.000000
79,77,92,0.000000
79,77,93,0.000000
79,78,82,0.000000
79,78,83,0.000000
79,78,84,0.000000
79,78,85,0.000000
79,78,86,0.000000
79,78,87,0.456979
79,78,88,0.474933
79,78,89,0.480911
79,78,90,0.488290
79,78,91,0.494795
79,78,92,0.495991
79,78,93,0.000000
79,79,82,0.000000
79,79,83,0.000000
79,79,84,0.000000
79,79,85,0.000000
79,79,86,0.000000
79,79,87,0.000000
79,79,90,0.465257
79,79,91,0.499614
79,79,92,0.503331
79,79,93,0.530569
79,79,95,0.464828
79,79,96,0.000000
79,79,97,0.000000
79,79,98,0.000000
79,80,82,0.000000
79,80,83,0.000000
79,80,95,0.391704
79,80,96,0.542692
79,80,97,0.000000
79,80,98,0.000000
79,80,99,0.000000
79,81,96,0.377585
79,81,97,0.000000
79,81,98,0.000000
79,81,99,0.000000
79,81,100,0.000000
79,82,97,0.374299
79,82,98,0.000000
79,82,99,0.000000
79,82,100,0.000000
79,82,101,0.000000
79,83,98,0.357290
79,83,99,0.000000
79,83,100,0.000000
79,83,101,0.000000
79,83,102,0.000000
79,84,99,0.339181
79,84,100,0.331511
79,84,101,0.000000
79,84,102,0.000000
79,85,100,0.000000
79,85,101,0.317534
79,85,102,0.000000
79,87,104,0.000000
79,87,105,0.000000
79,88,104,0.000000
79,88,105,0.000000
79,89,104,0.000000
79,89,105,0.000000
79,90,104,0.000000
79,90,105,0.000000
79,91,104,0.000000
79,91,105,0.000000
79,92,104,0.000000
79,92,105,0.345548
79,93,104,0.000000
79,93,105,0.309870
79,93,106,0.000000
79,93,107,0.000000
79,94,105,0.000000
79,94,106,0.000000
79,94,107,0.000000
79,95,106,0.000000
79,95,107,0.000000
79,95,108,0.000000
79,96,106,0.000000
79,96,107,0.000000
79,96,108,0.000000
79,96,109,0.000000
79,97,106,0.000000
79,97,107,0.000000
79,97,108,0.000000
79,97,109,0.000000
79,98,106,0.000000
79,98,107,0.000000
79,98,108,0.000000
79,98,109,0.000000
79,99,106,0.000000
79,99,107,0.000000
79,99,108,0.000000
79,100,106,0.000000
79,100,107,0.000000
79,100,108,0.000000
79,101,106,0.000000
79,101,107,0.000000
79,101,108,0.000000
79,102,106,0.000000
79,102,107,0.000000
79,102,108,0.000000
79,103,106,0.000000
79,103,107,0.000000
79,103,108,0.000000
79,104,106,0.000000
79,104,107,0.000000
79,104,108,0.000000
79,105,106,0.000000
79,105,107,0.000000
79,106,107,0.000000
79,107,107,0.000000
79,108,107,0.000000
80,76,86,0.000000
80,76,87,0.000000
80,76,88,0.000000
80,76,89,0.000000
80,76,90,0.000000
80,76,91,0.000000
80,77,84,0.000000
80,77,85,0.000000
80,77,86,0.000000
80,77,87,0.000000
80,77,88,0.000000
80,77,89,0.000000
80,77,90,0.000000
80,77,91,0.000000
80,77,92,0.000000
80,77,93,0.000000
80,78,82,0.000000
80,78,83,0.000000
80,78,84,0.000000
80,78,85,0.000000
80,78,86,0.000000
80,78,87,0.000000
80,78,88,0.000000
80,78,89,0.000000
80,78,90,0.000000
80,78,91,0.000000
80,78,92,0.000000
80,78,93,0.000000
80,78,94,0.000000
80,78,95,0.000000
80,78,96,0.000000
80,79,82,0.000000
80,79,83,0.000000
80,79,84,0.000000
80,79,85,0.000000
80,79,86,0.000000
80,79,87,0.000000
80,79,88,0.000000
80,79,89,0.000000
80,79,90,0.000000
80,79,91,0.000000
80,79,92,0.000000
80,79,93,0.587417
80,79,94,0.000000
80,79,95,0.000000
80,79,96,0.000000
80,79,97,0.000000
80,79,98,0.000000
80,80,82,0.000000
80,80,83,0.000000
80,80,92,0.000000
80,80,93,0.000000
80,80,94,0.000000
80,80,95,0.369602
80,80,96,0.354486
80,80,97,0.000000
80,80,98,0.000000
80,80,99,0.000000
80,81,94,0.000000
80,81,95,0.000000
80,81,96,0.368029
80,81,97,0.500820
80,81,98,0.000000
80,81,99,0.000000
80,81,100,0.000000
80,82,96,0.000000
80,82,97,0.382770
80,82,98,0.377351
80,82,99,0.000000
80,82,100,0.000000
80,82,101,0.000000
80,83,97,0.000000
80,83,98,0.364569
80,83,99,0.342534
80,83,100,0.000000
80,83,101,0.000000
80,83,102,0.000000
80,83,103,0.000000
80,84,98,0.000000
80,84,99,0.336963
80,84,100,0.326277
80,84,101,0.000000
80,84,102,0.000000
80,84,103,0.000000
80,85,99,0.000000
80,85,100,0.321275
80,85,101,0.310902
80,85,102,0.000000
80,85,103,0.000000
80,86,100,0.000000
80,86,101,0.317572
80,86,102,0.000000
80,86,103,0.000000
80,86,104,0.000000
80,87,101,0.336078
80,87,102,0.000000
80,87,103,0.000000
80,87,104,0.000000
80,88,101,0.000000
80,88,102,0.320758
80,88,103,0.000000
80,88,104,0.000000
80,88,105,0.000000
80,89,101,0.000000
80,89,102,0.326983
80,89,103,0.000000
80,89,104,0.000000
80,89,105,0.000000
80,90,101,0.000000
80,90,102,0.331729
