# X,Y,Z,FA
98,78,81,0.000000
98,79,79,0.000000
99,76,79,0.000000
99,76,80,0.000000
99,76,81,0.000000
99,77,79,0.000000
99,77,80,0.000000
99,77,81,0.000000
99,78,78,0.000000
99,78,79,0.000000
99,78,80,0.000000
99,78,81,0.000000
99,79,78,0.000000
99,79,79,0.000000
99,80,77,0.000000
99,80,78,0.000000
99,81,76,0.000000
99,81,77,0.000000
99,81,78,0.000000
100,76,79,0.000000
100,76,80,0.000000
100,76,81,0.000000
100,77,77,0.000000
100,77,78,0.000000
100,77,79,0.000000
100,77,80,0.000000
100,77,81,0.000000
100,78,77,0.000000
100,78,78,0.000000
100,78,79,0.000000
100,78,80,0.000000
100,78,81,0.000000
100,79,76,0.000000
100,79,77,0.000000
100,79,78,0.000000
100,79,79,0.000000
100,80,76,0.000000
100,80,77,0.000000
100,80,78,0.000000
100,81,75,0.000000
100,81,76,0.000000
100,81,77,0.000000
100,81,78,0.000000
100,82,75,0.000000
101,76,79,0.000000
101,76,80,0.000000
101,76,81,0.000000
101,77,77,0.000000
101,77,78,0.000000
101,77,79,0.000000
101,77,80,0.000000
101,77,81,0.000000
101,78,75,0.000000
101,78,76,0.000000
101,78,77,0.000000
101,78,78,0.000000
101,78,79,0.000000
101,78,80,0.000000
101,79,75,0.000000
101,79,76,0.000000
101,79,77,0.000000
101,79,78,0.000000
101,79,79,0.000000
101,80,75,0.000000
101,80,76,0.000000
101,80,77,0.000000
101,80,78,0.000000
101,81,74,0.000000
101,81,75,0.000000
101,81,76,0.000000
101,81,77,0.000000
101,82,74,0.000000
101,82,75,0.000000
101,83,74,0.000000
102,77,77,0.000000
102,77,78,0.000000
102,77,79,0.000000
102,78,75,0.000000
102,78,76,0.000000
102,78,77,0.000000
102,78,78,0.000000
102,79,74,0.000000
102,79,75,0.000000
102,79,76,0.000000
102,79,77,0.000000
102,80,73,0.000000
102,80,74,0.000000
102,80,75,0.000000
102,80,76,0.000000
102,80,77,0.000000
102,81,73,0.000000
102,81,74,0.000000
102,81,75,0.000000
102,81,76,0.000000
102,81,77,0.000000
102,82,73,0.000000
102,82,74,0.000000
102,82,75,0.000000
102,83,73,0.000000
102,83,74,0.000000
103,78,74,0.000000
103,78,75,0.000000
103,78,76,0.000000
103,78,77,0.000000
103,79,73,0.000000
103,79,74,0.000000
103,79,75,0.000000
103,79,76,0.000000
103,80,73,0.000000
103,80,74,0.000000
103,80,75,0.000000
103,81,72,0.000000
103,81,73,0.000000
103,81,74,0.000000
103,81,75,0.000000
103,82,72,0.000000
103,82,73,0.000000
103,82,74,0.000000
103,82,75,0.000000
103,83,72,0.000000
103,83,73,0.000000
103,83,74,0.000000
104,78,75,0.000000
104,78,76,0.000000
104,79,73,0.000000
104,79,74,0.000000
104,79,75,0.000000
104,80,72,0.000000
104,80,73,0.000000
104,80,74,0.000000
104,81,72,0.000000
104,81,73,0.000000
104,81,74,0.000000
104,82,71,0.000000
104,82,72,0.000000
104,82,73,0.231908
104,82,74,0.000000
104,83,70,0.000000
104,83,71,0.000000
