# X,Y,Z,FA
60,106,46,0.328599
60,106,47,0.299571
60,107,46,0.328599
60,107,47,0.299571
61,104,47,0.000000
61,104,48,0.000000
61,104,49,0.000000
61,105,46,0.000000
61,105,47,0.322167
61,105,48,0.256607
61,105,49,0.000000
61,106,45,0.331953
61,106,46,0.328599
61,106,47,0.322167
61,106,48,0.000000
61,107,45,0.331953
61,107,46,0.328599
61,107,47,0.000000
61,107,48,0.000000
61,108,45,0.331953
61,108,46,0.000000
61,108,47,0.000000
62,101,50,0.000000
62,101,51,0.000000
62,101,52,0.000000
62,101,53,0.000000
62,102,49,0.000000
62,102,50,0.000000
62,102,51,0.000000
62,102,52,0.000000
62,102,53,0.000000
62,103,47,0.000000
62,103,48,0.000000
62,103,49,0.000000
62,103,50,0.000000
62,103,51,0.000000
62,103,52,0.000000
62,104,46,0.000000
62,104,47,0.000000
62,104,48,0.000000
62,104,49,0.000000
62,104,50,0.000000
62,104,51,0.000000
62,105,45,0.000000
62,105,46,0.000000
62,105,47,0.322167
62,105,48,0.000000
62,105,49,0.000000
62,105,50,0.000000
62,106,45,0.331953
62,106,46,0.334039
62,106,47,0.322167
62,106,48,0.000000
62,106,49,0.000000
62,107,45,0.331953
62,107,46,0.334039
62,107,47,0.000000
62,107,48,0.000000
62,108,45,0.331953
62,108,46,0.000000
62,108,47,0.000000
62,109,45,0.000000
62,109,46,0.000000
63,99,53,0.000000
63,99,54,0.000000
63,99,55,0.000000
63,99,56,0.000000
63,100,51,0.000000
63,100,52,0.000000
63,100,53,0.000000
63,100,54,0.000000
63,100,55,0.000000
63,101,49,0.000000
63,101,50,0.000000
63,101,51,0.000000
63,101,52,0.000000
63,101,53,0.000000
63,101,54,0.000000
63,101,55,0.000000
63,102,48,0.000000
63,102,49,0.000000
63,102,50,0.000000
63,102,51,0.000000
63,102,52,0.000000
63,102,53,0.000000
63,102,54,0.000000
63,103,47,0.000000
63,103,48,0.000000
63,103,49,0.000000
63,103,50,0.000000
63,103,51,0.000000
63,103,52,0.000000
63,103,53,0.000000
63,104,46,0.000000
63,104,47,0.000000
63,104,48,0.298127
63,104,49,0.000000
63,104,50,0.000000
63,104,51,0.000000
63,104,52,0.000000
63,105,45,0.000000
63,105,46,0.000000
63,105,47,0.322167
63,105,48,0.000000
63,105,49,0.000000
63,105,50,0.000000
63,105,51,0.000000
63,106,45,0.000000
63,106,46,0.334039
63,106,47,0.310072
63,106,48,0.000000
63,106,49,0.000000
63,106,50,0.000000
63,107,45,0.331953
63,107,46,0.334039
63,107,47,0.000000
63,107,48,0.000000
63,107,49,0.000000
63,108,45,0.331953
63,108,46,0.000000
63,108,47,0.000000
63,108,48,0.000000
63,109,45,0.000000
63,109,46,0.000000
63,109,47,0.000000
63,110,45,0.000000
64,96,57,0.000000
64,96,58,0.000000
64,97,55,0.000000
64,97,56,0.000000
64,97,57,0.000000
64,97,58,0.000000
64,98,54,0.000000
64,98,55,0.000000
64,98,56,0.000000
64,98,57,0.000000
64,98,58,0.000000
64,99,52,0.000000
64,99,53,0.000000
64,99,54,0.000000
64,99,55,0.000000
64,99,56,0.000000
64,99,57,0.000000
64,99,58,0.000000
64,100,50,0.000000
64,100,51,0.000000
64,100,52,0.000000
64,100,53,0.000000
64,100,54,0.000000
64,100,55,0.000000
64,100,56,0.000000
64,100,57,0.000000
64,101,49,0.000000
64,101,50,0.000000
64,101,51,0.252398
64,101,52,0.269817
64,101,53,0.000000
64,101,54,0.000000
64,101,55,0.000000
64,101,56,0.000000
64,102,48,0.000000
64,102,49,0.000000
64,102,50,0.268053
64,102,51,0.252398
64,102,52,0.000000
64,102,53,0.000000
64,102,54,0.000000
64,102,55,0.000000
64,103,47,0.000000
64,103,48,0.000000
64,103,49,0.292222
64,103,50,0.268053
64,103,51,0.000000
64,103,52,0.000000
64,103,53,0.000000
64,103,54,0.000000
64,104,46,0.000000
64,104,47,0.000000
64,104,48,0.298127
64,104,49,0.292222
64,104,50,0.000000
64,104,51,0.000000
64,104,52,0.000000
64,104,53,0.000000
64,105,45,0.000000
64,105,46,0.000000
64,105,47,0.322167
64,105,48,0.297249
64,105,49,0.000000
64,105,50,0.000000
64,105,51,0.000000
64,105,52,0.000000
64,106,45,0.000000
64,106,46,0.334039
64,106,47,0.000000
64,106,48,0.000000
64,106,49,0.000000
64,106,50,0.000000
64,106,51,0.000000
64,107,45,0.333233
64,107,46,0.334039
64,107,47,0.000000
64,107,48,0.000000
64,107,49,0.000000
64,107,50,0.000000
64,108,45,0.333233
64,108,46,0.000000
64,108,47,0.000000
64,108,48,0.000000
64,108,49,0.000000
64,109,45,0.333233
64,109,46,0.000000
64,109,47,0.000000
64,110,45,0.000000
64,110,46,0.000000
64,111,45,0.000000
65,91,62,0.258906
65,91,63,0.000000
65,92,61,0.241660
65,92,62,0.000000
65,93,60,0.253993
65,93,61,0.000000
65,93,62,0.000000
65,94,59,0.255726
65,94,60,0.000000
65,94,61,0.000000
65,95,57,0.000000
65,95,58,0.228476
65,95,59,0.000000
65,95,60,0.000000
65,95,61,0.000000
65,96,56,0.000000
65,96,57,0.000000
65,96,58,0.000000
65,96,59,0.000000
65,96,60,0.000000
65,97,54,0.000000
65,97,55,0.000000
65,97,56,0.000000
65,97,57,0.000000
65,97,58,0.000000
65,97,59,0.000000
65,97,60,0.000000
65,98,53,0.000000
65,98,54,0.000000
65,98,55,0.000000
65,98,56,0.000000
65,98,57,0.000000
65,98,58,0.000000
65,98,59,0.000000
65,98,60,0.000000
65,99,51,0.000000
65,99,52,0.000000
65,99,53,0.000000
65,99,54,0.222730
65,99,55,0.000000
65,99,56,0.000000
65,99,57,0.000000
65,99,58,0.000000
65,99,59,0.000000
65,100,50,0.000000
65,100,51,0.000000
65,100,52,0.269817
65,100,53,0.246775
65,100,54,0.222730
65,100,55,0.000000
65,100,56,0.000000
65,100,57,0.000000
65,100,58,0.000000
65,101,49,0.000000
65,101,50,0.000000
65,101,51,0.252398
65,101,52,0.269817
65,101,53,0.246775
65,101,54,0.000000
65,101,55,0.000000
65,101,56,0.000000
65,101,57,0.000000
65,102,48,0.000000
65,102,49,0.000000
65,102,50,0.268053
65,102,51,0.252398
65,102,52,0.269817
65,102,53,0.000000
65,102,54,0.000000
65,102,55,0.000000
65,102,56,0.000000
65,103,47,0.000000
65,103,48,0.000000
65,103,49,0.292222
65,103,50,0.268053
65,103,51,0.253505
65,103,52,0.000000
65,103,53,0.000000
65,103,54,0.000000
65,103,55,0.000000
65,104,46,0.000000
65,104,47,0.000000
65,104,48,0.298127
65,104,49,0.292222
65,104,50,0.268053
65,104,51,0.000000
65,104,52,0.000000
65,104,53,0.000000
65,104,54,0.000000
65,105,45,0.000000
65,105,46,0.000000
65,105,47,0.322167
65,105,48,0.297249
65,105,49,0.292222
65,105,50,0.000000
65,105,51,0.000000
65,105,52,0.000000
65,105,53,0.000000
65,106,45,0.000000
65,106,46,0.335227
65,106,47,0.322167
65,106,48,0.297249
65,106,49,0.000000
65,106,50,0.000000
65,106,51,0.000000
65,106,52,0.000000
65,107,45,0.333233
65,107,46,0.335227
65,107,47,0.322167
65,107,48,0.000000
65,107,49,0.000000
65,107,50,0.000000
65,107,51,0.000000
65,108,45,0.333233
65,108,46,0.335227
65,108,47,0.000000
65,108,48,0.000000
65,108,49,0.000000
65,108,50,0.000000
65,109,45,0.333233
65,109,46,0.000000
65,109,47,0.000000
65,109,48,0.000000
65,110,45,0.333233
65,110,46,0.000000
65,110,47,0.000000
65,111,45,0.000000
65,111,46,0.000000
65,112,45,0.000000
66,87,66,0.306643
66,88,65,0.297591
66,88,66,0.000000
66,89,64,0.260792
66,89,65,0.000000
66,90,62,0.000000
66,90,63,0.243952
66,90,64,0.000000
66,90,65,0.000000
66,91,61,0.000000
66,91,62,0.260773
66,91,63,0.000000
66,91,64,0.000000
66,92,61,0.241660
66,92,62,0.260773
66,92,63,0.000000
66,92,64,0.000000
66,93,60,0.253993
66,93,61,0.000000
66,93,62,0.000000
66,93,63,0.000000
66,93,64,0.000000
66,94,58,0.000000
66,94,59,0.257323
66,94,60,0.000000
66,94,61,0.000000
66,94,62,0.000000
66,94,63,0.000000
66,95,57,0.000000
66,95,58,0.229988
66,95,59,0.257741
66,95,60,0.000000
66,95,61,0.000000
66,95,62,0.000000
66,96,55,0.000000
66,96,56,0.000000
66,96,57,0.212179
66,96,58,0.229988
66,96,59,0.000000
66,96,60,0.000000
66,96,61,0.000000
66,97,54,0.000000
66,97,55,0.000000
66,97,56,0.212018
66,97,57,0.212179
66,97,58,0.000000
66,97,59,0.000000
66,97,60,0.000000
66,97,61,0.000000
66,98,52,0.000000
66,98,53,0.000000
66,98,54,0.000000
66,98,55,0.206992
66,98,56,0.212018
66,98,57,0.000000
66,98,58,0.000000
66,98,59,0.000000
66,98,60,0.000000
66,99,51,0.000000
66,99,52,0.000000
66,99,53,0.000000
66,99,54,0.222730
66,99,55,0.206992
66,99,56,0.000000
66,99,57,0.000000
66,99,58,0.000000
66,99,59,0.000000
66,100,50,0.000000
66,100,51,0.000000
66,100,52,0.000000
66,100,53,0.246775
66,100,54,0.222730
66,100,55,0.000000
66,100,56,0.000000
66,100,57,0.000000
66,100,58,0.000000
66,101,49,0.000000
66,101,50,0.000000
66,101,51,0.000000
66,101,52,0.269817
66,101,53,0.246775
66,101,54,0.000000
66,101,55,0.000000
66,101,56,0.000000
66,101,57,0.000000
66,102,48,0.000000
66,102,49,0.000000
66,102,50,0.000000
66,102,51,0.252398
66,102,52,0.269817
66,102,53,0.000000
66,102,54,0.000000
66,102,55,0.000000
66,102,56,0.000000
66,103,48,0.000000
66,103,49,0.000000
66,103,50,0.268053
66,103,51,0.253505
66,103,52,0.000000
66,103,53,0.000000
66,103,54,0.000000
66,103,55,0.000000
66,104,47,0.000000
66,104,48,0.000000
66,104,49,0.292222
66,104,50,0.268053
66,104,51,0.000000
66,104,52,0.000000
66,104,53,0.000000
66,104,54,0.000000
66,105,46,0.000000
66,105,47,0.000000
66,105,48,0.297249
66,105,49,0.292222
66,105,50,0.000000
66,105,51,0.000000
