# X,Y,Z,FA
70,96,104,0.000000
70,97,104,0.000000
70,141,98,0.000000
70,142,98,0.000000
70,143,97,0.000000
70,144,97,0.000000
70,145,96,0.000000
70,145,97,0.235526
71,96,102,0.000000
71,96,103,0.000000
71,96,104,0.000000
71,96,105,0.000000
71,96,106,0.000000
71,97,103,0.000000
71,97,104,0.000000
71,97,105,0.000000
71,97,106,0.000000
71,98,104,0.000000
71,98,105,0.000000
71,98,106,0.000000
71,99,104,0.000000
71,99,105,0.000000
71,99,106,0.000000
71,100,105,0.000000
71,100,106,0.000000
71,101,105,0.000000
71,101,106,0.000000
71,102,105,0.000000
71,102,106,0.000000
71,102,107,0.000000
71,103,105,0.000000
71,103,106,0.000000
71,103,107,0.000000
71,104,105,0.000000
71,104,106,0.000000
71,104,107,0.000000
71,105,105,0.000000
71,105,106,0.000000
71,105,107,0.000000
71,106,105,0.000000
71,106,106,0.000000
71,106,107,0.000000
71,107,105,0.000000
71,107,106,0.000000
71,107,107,0.000000
71,108,105,0.000000
71,108,106,0.000000
71,108,107,0.000000
71,109,105,0.000000
71,109,106,0.000000
71,109,107,0.000000
71,110,105,0.000000
71,110,106,0.000000
71,110,107,0.000000
71,111,105,0.000000
71,111,106,0.000000
71,111,107,0.000000
71,112,105,0.000000
71,112,106,0.000000
71,112,107,0.000000
71,113,105,0.000000
71,113,106,0.000000
71,113,107,0.000000
71,114,105,0.000000
71,114,106,0.000000
71,114,107,0.000000
71,115,105,0.000000
71,115,106,0.000000
71,115,107,0.000000
71,116,105,0.000000
71,116,106,0.000000
71,116,107,0.000000
71,117,105,0.000000
71,117,106,0.000000
71,118,105,0.000000
71,118,106,0.000000
71,119,105,0.000000
71,119,106,0.000000
71,120,105,0.000000
71,120,106,0.000000
71,121,105,0.000000
71,121,106,0.000000
71,122,104,0.000000
71,122,105,0.000000
71,122,106,0.000000
71,123,104,0.000000
71,123,105,0.000000
71,123,106,0.000000
71,124,104,0.000000
71,124,105,0.000000
71,124,106,0.000000
71,125,104,0.000000
71,126,104,0.000000
71,127,104,0.000000
71,128,103,0.000000
71,128,104,0.000000
71,129,103,0.000000
71,130,103,0.000000
71,131,103,0.000000
71,132,102,0.000000
71,132,103,0.000000
71,133,102,0.000000
71,133,103,0.000000
71,134,102,0.000000
71,134,103,0.000000
71,135,102,0.000000
71,135,103,0.000000
71,136,101,0.000000
71,136,102,0.000000
71,137,101,0.000000
71,137,102,0.260092
71,138,100,0.000000
71,138,101,0.269515
71,139,99,0.000000
71,139,100,0.000000
71,139,101,0.000000
71,140,98,0.000000
71,140,99,0.000000
71,140,100,0.270996
71,140,101,0.000000
71,141,98,0.000000
71,141,99,0.279057
71,141,100,0.000000
71,141,101,0.000000
71,142,97,0.000000
71,142,98,0.000000
71,142,99,0.000000
71,142,100,0.000000
71,143,97,0.000000
71,143,98,0.000000
71,143,99,0.000000
71,144,96,0.000000
71,144,97,0.000000
71,144,98,0.000000
71,145,95,0.000000
71,145,96,0.000000
71,145,97,0.000000
72,96,100,0.000000
72,96,101,0.000000
72,96,102,0.000000
72,96,103,0.000000
72,96,104,0.626110
72,96,105,0.569462
72,96,106,0.336672
72,96,107,0.336672
72,97,101,0.000000
72,97,102,0.000000
72,97,103,0.000000
72,97,104,0.000000
72,97,105,0.584816
72,97,106,0.303172
72,97,107,0.314663
72,98,102,0.000000
72,98,103,0.000000
72,98,104,0.000000
72,98,105,0.555046
72,98,106,0.326624
72,98,107,0.326624
72,99,103,0.000000
72,99,104,0.000000
72,99,105,0.335520
72,99,106,0.359612
72,99,107,0.359612
72,100,104,0.000000
72,100,105,0.000000
72,100,106,0.353682
72,100,107,0.353682
72,101,105,0.000000
72,101,106,0.145752
72,101,107,0.345905
72,102,105,0.000000
72,102,106,0.149080
72,102,107,0.361078
72,103,105,0.000000
72,103,106,0.000000
72,103,107,0.301841
72,103,108,0.294410
72,104,105,0.000000
72,104,106,0.000000
72,104,107,0.361902
72,104,108,0.339776
72,105,105,0.000000
72,105,106,0.000000
72,105,107,0.396262
72,105,108,0.367090
72,106,105,0.000000
72,106,106,0.000000
72,106,107,0.401333
72,106,108,0.419597
72,107,105,0.000000
72,107,106,0.000000
72,107,107,0.396789
72,107,108,0.355343
72,108,105,0.000000
72,108,106,0.000000
72,108,107,0.000000
72,108,108,0.371733
72,109,105,0.000000
72,109,106,0.000000
72,109,107,0.000000
72,109,108,0.410420
72,110,105,0.000000
72,110,106,0.000000
72,110,107,0.000000
72,110,108,0.395882
72,111,105,0.000000
72,111,106,0.000000
72,111,107,0.000000
72,111,108,0.384065
72,112,105,0.000000
72,112,106,0.000000
72,112,107,0.000000
72,112,108,0.000000
72,113,105,0.000000
72,113,106,0.000000
72,113,107,0.000000
72,113,108,0.000000
72,114,105,0.000000
72,114,106,0.000000
72,114,107,0.000000
72,114,108,0.000000
72,115,105,0.000000
72,115,106,0.000000
72,115,107,0.000000
72,115,108,0.000000
72,116,105,0.000000
72,116,106,0.000000
72,116,107,0.000000
72,116,108,0.000000
72,117,105,0.000000
72,117,106,0.000000
72,117,107,0.000000
72,117,108,0.000000
72,118,105,0.000000
72,118,106,0.000000
72,118,107,0.000000
72,118,108,0.000000
72,119,104,0.000000
72,119,105,0.000000
72,119,106,0.000000
72,119,107,0.000000
72,119,108,0.000000
72,120,104,0.000000
72,120,105,0.000000
72,120,106,0.000000
72,120,107,0.000000
72,121,104,0.000000
72,121,105,0.000000
72,121,106,0.000000
72,121,107,0.000000
72,122,104,0.000000
72,122,105,0.000000
72,122,106,0.000000
72,122,107,0.000000
72,123,104,0.000000
72,123,105,0.000000
72,123,106,0.000000
72,123,107,0.000000
72,124,104,0.000000
72,124,105,0.000000
72,124,106,0.000000
72,124,107,0.000000
72,125,104,0.000000
72,125,105,0.000000
72,125,106,0.000000
72,126,104,0.000000
72,126,105,0.000000
72,126,106,0.000000
72,127,103,0.000000
72,127,104,0.000000
72,127,105,0.000000
72,127,106,0.000000
72,128,103,0.000000
72,128,104,0.000000
72,128,105,0.000000
72,128,106,0.000000
72,129,103,0.000000
72,129,104,0.000000
72,129,105,0.000000
72,129,106,0.000000
72,130,102,0.000000
72,130,103,0.000000
72,130,104,0.000000
72,130,105,0.000000
72,130,106,0.000000
72,131,102,0.000000
72,131,103,0.000000
72,131,104,0.000000
72,131,105,0.000000
72,131,106,0.000000
72,132,102,0.000000
72,132,103,0.000000
72,132,104,0.000000
72,132,105,0.000000
72,132,106,0.000000
72,133,102,0.000000
72,133,103,0.000000
72,133,104,0.000000
72,133,105,0.000000
72,134,101,0.000000
72,134,102,0.000000
72,134,103,0.000000
72,134,104,0.000000
72,134,105,0.000000
72,135,101,0.000000
72,135,102,0.000000
72,135,103,0.000000
72,135,104,0.000000
72,135,105,0.276204
72,136,100,0.000000
72,136,101,0.000000
72,136,102,0.000000
72,136,103,0.000000
72,136,104,0.000000
72,136,105,0.000000
72,137,99,0.000000
72,137,100,0.000000
72,137,101,0.000000
72,137,102,0.000000
72,137,103,0.000000
72,137,104,0.263628
72,137,105,0.000000
72,138,99,0.000000
72,138,100,0.000000
72,138,101,0.000000
72,138,102,0.000000
72,138,103,0.260092
72,138,104,0.246025
72,139,98,0.000000
72,139,99,0.000000
72,139,100,0.000000
72,139,101,0.000000
72,139,102,0.269515
72,140,98,0.000000
72,140,99,0.000000
72,140,100,0.000000
72,140,101,0.272670
72,141,97,0.000000
72,141,98,0.000000
72,141,99,0.000000
72,141,100,0.278821
72,141,101,0.294979
72,142,96,0.000000
72,142,97,0.000000
72,142,98,0.000000
72,142,99,0.277856
72,142,100,0.294304
72,143,96,0.000000
72,143,97,0.000000
72,143,98,0.000000
72,143,99,0.261613
72,143,100,0.277856
72,144,95,0.000000
72,144,96,0.000000
72,144,97,0.000000
72,144,98,0.242852
72,144,99,0.252783
72,145,94,0.000000
72,145,95,0.000000
72,145,96,0.000000
72,145,97,0.232287
72,145,98,0.235842
73,96,99,0.000000
73,96,100,0.000000
73,96,101,0.000000
73,96,102,0.000000
73,96,103,0.626110
73,96,104,0.617204
73,96,105,0.000000
73,96,106,0.000000
73,96,107,0.000000
73,96,108,0.000000
