# X,Y,Z,FA
60,67,80,0.000000
60,67,81,0.000000
60,68,80,0.000000
60,68,81,0.000000
60,69,81,0.000000
61,66,80,0.000000
61,66,81,0.000000
61,67,80,0.000000
61,67,81,0.000000
61,68,80,0.000000
61,68,81,0.000000
61,68,82,0.000000
61,69,81,0.000000
61,69,82,0.000000
61,69,83,0.000000
61,70,81,0.000000
61,70,82,0.000000
61,70,83,0.000000
61,70,84,0.000000
61,71,81,0.000000
61,71,82,0.000000
61,71,83,0.000000
61,71,84,0.000000
61,71,85,0.000000
61,71,86,0.000000
61,71,87,0.000000
61,72,82,0.000000
61,72,83,0.000000
61,72,84,0.000000
61,72,85,0.000000
61,72,86,0.000000
61,72,87,0.000000
61,73,83,0.000000
61,73,84,0.000000
62,64,80,0.000000
62,65,80,0.000000
62,65,81,0.000000
62,66,80,0.000000
62,66,81,0.000000
62,66,82,0.000000
62,67,80,0.000000
62,67,81,0.000000
62,67,82,0.000000
62,67,83,0.000000
62,68,80,0.000000
62,68,81,0.000000
62,68,82,0.000000
62,68,83,0.000000
62,69,80,0.000000
62,69,81,0.000000
62,69,82,0.000000
62,69,83,0.000000
62,69,84,0.000000
62,69,85,0.000000
62,69,86,0.000000
62,70,80,0.000000
62,70,81,0.000000
62,70,82,0.000000
62,70,83,0.000000
62,70,84,0.000000
62,70,85,0.000000
62,70,86,0.000000
62,70,87,0.480228
62,71,80,0.000000
62,71,81,0.000000
62,71,82,0.000000
62,71,83,0.000000
62,71,84,0.000000
62,71,85,0.000000
62,71,86,0.000000
62,71,87,0.000000
62,72,81,0.000000
62,72,82,0.000000
62,72,83,0.000000
62,72,84,0.000000
62,72,85,0.000000
62,72,86,0.000000
62,72,87,0.000000
62,73,81,0.000000
62,73,82,0.000000
62,73,83,0.000000
62,73,84,0.000000
62,73,85,0.000000
62,73,86,0.000000
62,73,87,0.000000
62,74,82,0.000000
62,74,83,0.000000
62,74,84,0.000000
62,74,85,0.000000
62,74,86,0.000000
62,74,87,0.000000
62,75,84,0.000000
62,75,85,0.000000
62,75,86,0.000000
62,75,87,0.000000
62,76,85,0.000000
63,63,80,0.000000
63,63,81,0.000000
63,64,80,0.000000
63,64,81,0.000000
63,65,80,0.000000
63,65,81,0.000000
63,65,82,0.000000
63,65,83,0.000000
63,66,80,0.000000
63,66,81,0.000000
63,66,82,0.000000
63,66,83,0.000000
63,67,80,0.000000
63,67,81,0.000000
63,67,82,0.000000
63,67,83,0.000000
63,67,84,0.412925
63,68,80,0.000000
63,68,81,0.000000
63,68,82,0.000000
63,68,83,0.000000
63,68,84,0.406011
63,68,87,0.452759
63,69,80,0.000000
63,69,81,0.000000
63,69,82,0.000000
63,69,83,0.000000
63,69,84,0.409302
63,69,85,0.433818
63,69,86,0.468948
63,69,87,0.457355
63,69,88,0.000000
63,70,80,0.000000
63,70,81,0.000000
63,70,82,0.000000
63,70,83,0.000000
63,70,84,0.000000
63,70,85,0.447402
63,70,86,0.483838
63,70,87,0.471881
63,70,88,0.461208
63,70,89,0.000000
63,71,80,0.000000
63,71,81,0.000000
63,71,82,0.000000
63,71,83,0.000000
63,71,84,0.000000
63,71,85,0.000000
63,71,86,0.484450
63,71,87,0.480228
63,71,88,0.507758
63,71,89,0.000000
63,71,90,0.000000
63,72,80,0.000000
63,72,81,0.000000
63,72,82,0.000000
63,72,83,0.000000
63,72,84,0.000000
63,72,85,0.000000
63,72,86,0.000000
63,72,87,0.539435
63,72,88,0.518474
63,72,89,0.000000
63,72,90,0.000000
63,72,91,0.000000
63,73,80,0.000000
63,73,81,0.000000
63,73,82,0.000000
63,73,83,0.000000
63,73,84,0.000000
63,73,85,0.000000
63,73,86,0.000000
63,73,87,0.000000
63,73,88,0.000000
63,73,89,0.000000
63,73,90,0.000000
63,73,91,0.000000
63,73,92,0.000000
63,74,81,0.000000
63,74,82,0.000000
63,74,83,0.000000
63,74,84,0.000000
63,74,85,0.000000
63,74,86,0.000000
63,74,87,0.000000
63,74,88,0.000000
63,74,89,0.610235
63,74,90,0.000000
63,74,91,0.000000
63,74,92,0.000000
63,74,93,0.000000
63,75,82,0.000000
63,75,83,0.000000
63,75,84,0.000000
63,75,85,0.000000
63,75,86,0.000000
63,75,87,0.000000
63,75,88,0.000000
63,75,89,0.476778
63,75,92,0.000000
63,75,93,0.000000
63,76,84,0.000000
63,76,85,0.000000
63,76,86,0.000000
63,76,87,0.000000
63,76,88,0.000000
63,77,85,0.000000
63,77,86,0.000000
64,61,80,0.000000
64,61,81,0.000000
64,62,80,0.000000
64,62,81,0.000000
64,63,80,0.000000
64,63,81,0.000000
64,63,83,0.000000
64,64,80,0.000000
64,64,81,0.000000
64,64,82,0.000000
64,64,83,0.000000
64,65,80,0.000000
64,65,81,0.000000
64,65,82,0.000000
64,65,83,0.000000
64,66,80,0.000000
64,66,81,0.000000
64,66,82,0.000000
64,66,83,0.000000
64,66,84,0.000000
64,67,80,0.000000
64,67,81,0.000000
64,67,82,0.000000
64,67,83,0.000000
64,67,84,0.000000
64,67,85,0.000000
64,67,86,0.000000
64,67,87,0.000000
64,68,80,0.000000
64,68,81,0.000000
64,68,82,0.000000
64,68,83,0.000000
64,68,84,0.000000
64,68,85,0.000000
64,68,86,0.000000
64,68,87,0.000000
64,69,80,0.000000
64,69,81,0.000000
64,69,82,0.000000
64,69,83,0.000000
64,69,84,0.394879
64,69,85,0.447402
64,69,86,0.000000
64,69,87,0.000000
64,69,88,0.000000
64,70,79,0.000000
64,70,80,0.000000
64,70,81,0.000000
64,70,82,0.000000
64,70,83,0.000000
64,70,84,0.432032
64,70,85,0.450008
64,70,86,0.484450
64,70,87,0.000000
64,70,88,0.000000
64,70,90,0.000000
64,71,79,0.000000
64,71,80,0.000000
64,71,81,0.000000
64,71,82,0.000000
64,71,83,0.000000
64,71,84,0.446885
64,71,85,0.482002
64,71,86,0.519489
64,71,87,0.508709
64,71,88,0.000000
64,71,89,0.000000
64,71,90,0.000000
64,71,91,0.000000
64,72,79,0.000000
64,72,80,0.000000
64,72,81,0.000000
64,72,82,0.000000
64,72,83,0.000000
64,72,84,0.000000
64,72,85,0.500497
64,72,86,0.538970
64,72,87,0.528880
64,72,88,0.518474
64,72,89,0.000000
64,72,90,0.000000
64,72,91,0.000000
64,73,80,0.000000
64,73,81,0.000000
64,73,82,0.000000
64,73,83,0.000000
64,73,84,0.000000
64,73,85,0.000000
64,73,86,0.565092
64,73,87,0.539435
64,73,88,0.519998
64,73,89,0.564940
64,73,90,0.000000
64,73,91,0.000000
64,73,92,0.000000
64,74,80,0.000000
64,74,81,0.000000
64,74,82,0.000000
64,74,83,0.000000
64,74,84,0.000000
64,74,85,0.000000
64,74,86,0.000000
64,74,87,0.000000
64,74,88,0.615382
64,74,89,0.610235
64,74,90,0.549830
64,74,91,0.000000
64,74,92,0.000000
64,74,93,0.419264
64,75,81,0.000000
64,75,82,0.000000
64,75,83,0.000000
64,75,84,0.000000
64,75,85,0.000000
64,75,86,0.000000
64,75,87,0.000000
